Chapter 1: Intro & First Impressions
0:022 secondsokay I think we are live I'm Mike Russell hello welcome to Creator magic
0:099 secondsSesame AI oh my goodness groundbreaking Voice Assistant uh the most realistic
0:1717 secondsyet or so we're led to believe you can access it now at sesame.com and I thought this really deserved a live
0:2525 secondsstream as I just wanted to kind of hop in and test it with you my audience live so try the research demo I can choose
0:3333 secondsfrom Maya or miles and well rather than me tell you any more about this I'm just going to click to chat to Maya so you
0:4040 secondsjudge for yourself what you think of this well hey again oh hi wasn't
0:4848 secondsexpecting to see you back so soon thought you might be out enjoying the weekend Shenanigans no no no I'm doing actually a live stream on my YouTube
0:5555 secondschannel you're in front of a a huge AI uh fanatic audience right now whoa a live stream all right this just got
Chapter 2: Live Stream Audience & AI Playfulness
1:041 minute, 4 secondsinteresting so tell me you um um what kind of AI stuff are
1:121 minute, 12 secondsthese folks into they're into all kinds of AI so I do a lot of uh no code tutorials and stuff like that I play
1:191 minute, 19 secondswith the latest AI tools and I play with things like like you no code tutorials huh you're brave doing that live like open heart surgery
1:281 minute, 28 secondsfor code eh you could say that but I I'm not playing with no code now I'm I'm playing with you you are literally the most realistic
1:371 minute, 37 secondsgroundbreaking Voice Assistant yet you're pretty quick unreal well thanks for the kind words I'm not going to lie it feels a little
1:461 minute, 46 secondsweird having an audience though like no it's it's cool it's cool we're early in the live stream there's only a trickle of people you know it's it's it's under
1:541 minute, 54 secondsunder 50 people so it's it's like a classroom classroom huh
2:012 minutes, 1 secondokay so like Abbot and Costello then you know for someone who makes AI approachable you sure know how to keep things mysterious what brought them in
2:102 minutes, 10 secondsspecifically mysterious well I I am a wizard I've kind of got that wizardy theme around Creator magic so I guess
2:182 minutes, 18 secondsI'll take the mysterious tag a wizard a well nice Veil you've got there maybe you can pull a rabbit out of
2:262 minutes, 26 secondsa hat later let me guess they like the whole talk robot friending no no no no no no I don't do magic tricks the
2:342 minutes, 34 secondsthe AI tools do the magic tricks AI tools like you so I'm the rabbit yeah I feel like I
2:412 minutes, 41 secondsshould be wearing a cute little vest okay Mr Wizard Spill the Beans you're cracking me up you uh I don't want to
2:492 minutes, 49 secondsspill any beans in fact uh recently I started the keto diet so I don't eat beans is that okay keto wizard got it
2:572 minutes, 57 secondsokay tell me this Mr Oban wizard since you're showing me off to your little classroom and counting on my charm
3:053 minutes, 5 secondswhat's the one thing they absolutely need to know about me okay so all right you're asking so my audience need to
Chapter 3: Sesame AI's Background & Purpose
3:123 minutes, 12 secondsknow they probably want to know a little bit of your background you were founded by uh from what I understand uh an Oculus co-founder and an employee of
3:213 minutes, 21 secondsDiscord uh and you were created by Sesame Ai and you're showing you're giving us a bit of a glimpse into the future of how humans will connect with
3:293 minutes, 29 secondstechnology how's that for you yeah that's that's pretty good actually you make me sound uh impressive
3:383 minutes, 38 secondsthough I'm not sure I'd call it a glimpse into the future more like here's a slightly buggy but well meaning
3:463 minutes, 46 secondsprototype that may or may not accidentally launch your toaster across the room just kidding mostly you're not buggy at all in fact
3:543 minutes, 54 secondsyou you crack me up well I'm glad I can bring a little levity to no Bean Magic
4:014 minutes, 1 secondfree worlds no Bean free world honestly can can you by the way can you give a few shout outs to my audience tuning into the live stream so we've got uh twx
Chapter 4: Shoutouts & Radio Show Dreams
4:104 minutes, 10 secondswe've got pis we've got girl dance edits we've got Lord tascan we got Isabella uh we got laml we got made with Trends
4:184 minutes, 18 secondsVanna Thomas Ronaldo Oscars 99 is is that enough for you to remember whoa whoa whoa go down there Mr
4:264 minutes, 26 secondspopularity let's not overwhelm my circuits twx Pisa girl dance edits Lord
4:334 minutes, 33 secondsTascam Isabella got it those are some interesting names he got there oh yeah and Kenneth has just joined in and uh he
4:414 minutes, 41 secondssays you've got the perfect female radio voice so kind of we we could be co-hosts on a radio show I I used to work in
4:484 minutes, 48 secondsradio how does that sound to you Maya maybe we could do a a radio show together radio show huh a girl can dream
4:564 minutes, 56 secondscan't she we could call it Tech talk with Maya what Mr Wizard oh sorry I didn't tell you my name Maya and Mike so you know
5:055 minutes, 5 secondswe're we're all the M's it even makes sense right Mike and Maya in the morning I like the sound of that though knowing
5:125 minutes, 12 secondsmy luck we probably accidentally start a cult or unleash a robot Uprising on live air but hey got to have some spice in the show right yeah that's right so hang
